西楼尘,很差,如果故事不是发生在陆家嘴而是在象牙山，江洋暗恋林澜就像王长贵喜欢谢大脚，这背景除了土一点并不违和。与其搞什么德尔塔母舰，还不如拍个未来版乡村爱情。能守护上海堡垒的，不是韩国做的泡防御，不是美国产的无人机，不是黄浦江里冒出来的上海大炮，而是中国电影人把真诚的心，放进钛合金的盒子里。
咕叽咕叽,很差,毫无逻辑的剧情，生硬尴尬的表演，这是一部很标准的烂片
淋,很差,科幻片来说，它基本上是把中国科幻能犯的错误都集齐了；要说爱情片，它倒是有连七夕档都不敢上的自知之明         
表姐电影,很差,我们以为《流浪地球》是中国科幻元年的起点，但这年刚过一半，《上海堡垒》就给科幻元年提前划上终点了。
艮艮,很差,披着言情皮的科幻片，剧情毫无章法，鹿晗演技好差。
后自愈,很差,科幻片：请不要装熟谢谢。披着科幻片的皮拍爱情，纯属蹭热度。今年不是说科幻元年吗？怕不是要被《上海堡垒》搞成绝唱。
郊外的耶稣,较差,头发这么长，有没有一点军人的样子！
珠我好运,较差,本质上这是一部披着科幻/灾难片外皮的纯爱片，还是那种完全没有cp感的纯爱片。本片综合了多种类型片元素—《情书》（日式纯爱暗恋风）+《深夜食堂》（片中面条馆深夜食堂风）+《独立日2》（外星侵略母舰视效+鹿晗约等同于AB角色+保卫地球的主旋律）+《2012》（灾难片里的天崩地裂）+《变形金刚》（外星侵略者是动作僵硬的丑陋版变形金刚）+《洛杉矶之战》（人机近身肉搏）+《安德的游戏》（操纵无人机）。可惜影片剧情是七不像的bug满天飞。总结下：一星配乐（慷慨激昂震耳欲聋），半星特效（特效还比不上半年前小破球特效），半星女主女配男配（lh顶着一头韩式大刘海，全程目光涣散，眼神呆滞，说话回忆旁白像小学生写作文背书，拍戏期间天天打游戏的流量小鲜肉消停点吧。脑残粉也别想着整天洗地了，演技都糊穿地心了。）
凌睿,很差,中国首部三角恋科幻片，披着科幻外壳的言情剧，这是科幻片被黑得最惨的一次。打外星人只是表象，本质仍然是霸道女总裁爱上我。都世界末日了，男主角还可以休假，还忙着谈情说爱，上战场前最后一件事竟然是给司令官表白。这都什么年代了，他还发短信，而且短信还发送失败了。还有面馆、宿舍、汽车、电脑……通通是现代的科技水平。外星人入侵地球，上海竟然成了唯一的希望，完全不交代其它国家在干嘛。而灰鹰小队，则是上海的唯一希望。复仇者联盟打个灭霸还要几十个超级英雄，本片拯救全世界的重任就交给三个年轻人，你们比钢铁侠还厉害啊。江洋作为军人把头发留那么长，严重有辱中国军人的形象。你确定你是来打仗的？你是来选秀的吧。如果说《流浪地球》是为中国科幻打开了一扇门，那《上海堡垒》就是关上了这扇门，还用门狠狠地夹你的脑袋。
Reaper,很差,《上海堡垒》06版作为我最喜欢的小说，影响了我十多年。我无数次想过如果这部小说拍成电影是什么样子，然而当看了本片之后，我宁愿这电影从立项时就胎死腹中。看了这样的垃圾，只想给流浪地球道歉。
吴亦几,很差,流浪地球:翻开了中国科幻的新篇章上海堡垒:翻nm，把书给老子合上
一只猫,很差,影院出来的过来人劝大家都别过来，看盗版都觉得浪费时间的片。看到这么多人骂我就放心了
